"person_id","GALLERY","Book Date","Admission Type","Offense","Hispanic / Latino","RACE","GENDER","Release Date","DEGREE","GRADE"
"42cf3ab6a1bc8b6903222de2c7992da1","154977",2018-06-06,"OUTRIGHT ONLY","Operating a Vehicle While Intoxicated Endangering a Person","Not Hispanic or Latino","White","M","2018-06-13","F","6"
"ace431855cd78668172771b8c69a91bf","164565",2018-04-18,"OUTRIGHT ONLY","Theft","Not Hispanic or Latino","White","M","2018-04-19","M","A"
"83c5c624aea20f665d94ddb658dc0174","173053",2018-05-16,"WARRANT ONLY","Domestic Battery",NA,"White","M","2018-05-17","F","5"
"f1d917f543288cbe71b97a4a91bf9ca1","174019",2018-06-07,"COURT HEARING","Dealing in a Narcotic Drug","Not Hispanic or Latino","Black","M","2018-06-14","F","A"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-12,"OUTRIGHT ONLY","Criminal Trespass","Not Hispanic or Latino","Black","M","2018-04-12","F","6"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-13,"OUTRIGHT ONLY","Panhandling","Not Hispanic or Latino","Black","M","2018-04-14","M","C"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-16,"OUTRIGHT ONLY","Criminal Trespass","Not Hispanic or Latino","Black","M","2018-04-18","F","6"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-20,"OUTRIGHT ONLY","Public Intoxication","Not Hispanic or Latino","Black","M","2018-04-21","M","B"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-21,"OUTRIGHT ONLY","Disorderly Conduct","Not Hispanic or Latino","Black","M","2018-04-21","M","B"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-23,"OUTRIGHT ONLY","Public Intoxication","Not Hispanic or Latino","Black","M","2018-04-24","M","B"
"5a68c30c6c5ea20671080191854d0a5e","178622",2018-04-24,"OUTRIGHT ONLY","Criminal Trespass","Not Hispanic or Latino","Black","M","2018-04-24","M","A"
"77d0eaf75a37c7417d49195eb625d78f","182957",2018-05-03,"WARRANT ONLY","Possession of a Narcotic Drug","Not Hispanic or Latino","Black","M","2018-05-14","F","6"
"54e88839b5cae7236ee08d9cbce0cb9b","183344",2018-05-08,"OUTRIGHT ONLY","Public Intoxication","Not Hispanic or Latino","Black","M","2018-05-09","M","B"
"22b994c096b00d22e053dbe48f639f56","188218",2018-06-08,"OUTRIGHT ONLY","Domestic Battery","Not Hispanic or Latino","White","M","2018-06-09","M","A"
"9725c11627a297d98eab7640ced2c0ed","189098",2018-06-27,"OUTRIGHT ONLY","Driving While Suspended","Not Hispanic or Latino","Black","M","2018-06-28","M","A"
"7ac08cd43d3ca5ae382ac1e0e6fcf291","191206",2018-05-25,"WARRANT ONLY","Forgery","Not Hispanic or Latino","Black","M","2018-05-30","F","6"
"8e7fa14733075c842986cfa470b69960","196913",2018-05-04,"REMAND","Operating a Vehicle While Intoxicated Endangering a Person","Not Hispanic or Latino","White","M","2018-05-06","M","A"
"d5e8fd13d567801b8e17655d527a673a","196949",2018-04-04,"WARRANT ONLY","Criminal Recklessness","Not Hispanic or Latino","Black","M","2018-04-05","F","6"
"b4507eaa99cd0081afbb0bcb7c1116b9","197860",2018-04-27,"REMAND","Operating a Vehicle While Intoxicated","Not Hispanic or Latino","Black","M","2018-04-28","M","A"
"e453c4481f818c54ade11fa9efa7fba2","198766",2018-04-26,"OUTRIGHT ONLY","Battery by Means of a Deadly Weapon","Not Hispanic or Latino","Black","M","2018-05-02","F","5"
